address,rank
0xa160cdab225685da1d56aa342ad8841c3b53f291,0.25629205900245483
0x34a17418cec67b82d08cf77a987941f99dc87c6b,0.23973670151564327
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0.15
0x2b5634c42055806a59e9107ed44d43c426e58258,0.1460048096683321
0x689c56aef474df92d44a1b70850f808488f9769c,0.04164111760919701
0x905b63fff465b9ffbf41dea908ceb12478ec7601,0.0031136089751174338
0x23156749a0acefc8f07b9954d181d50084c1519e,0.0012512187435290813
0x1a98fcebebfea4ffbd0d5bf5e4650d71344f52ab,0.0011197938502865094
0xf519e276958c3ef2dffd9b6b2d87d26859526505,0.0009674387824267169
0x54459d826a727393134c929ad1f4bc1e16f6f021,0.00048127705074932185
0xbe5e1ba665d397d5304f0f546cead0a1e44f242d,0.00042479349664516816
0x978aad63fe35f7a72573c411c3dff53608aaeac9,0.00033284852572608626
0x443e285a20e5f1df69e9db8bca8402c176524eb6,0.00023918553782255734
0x2b9fde1ee93f17e7534674b777f4fcc1a371e4bf,0.0002388751943723478
0x0554a200988cf265b3aa35436a903d51fac47112,0.00021367786664099574
0x269d3096e5334621f5e670a72d326b439eb630ca,0.00019841516188092462
0x710da7a06b0c66a18fed27dfa53d937c69ed3b2c,0.00018781394027901564
0x64468dba51b7872c22c999919d590dbdfecef8f8,0.00018315245712085347
0x3781e57863f00a2ebf77a8a7e47987c46474c9c9,0.00018071252001645552
0xacd79a844762727fca3bfc4bd3253168c2b4f3c2,0.00018026350522735483
0x64e6fdd639e1811272fd5b0bc051580e84bf93bc,0.00017806488886749653
0xe2183c61a6597a1078e1f4f9f9cc75bcf6b8bd78,0.00017806488886749653
0x9b4c75ce8d7006620df39e8757ade75d6434a6fe,0.00016050716970438935
0x226d13cad8e4ae30285fa7cc131d9ad2923a5b1a,0.00015771461585406825
0x0ecc6571ed4d892ae204705323d09a9443b7bb88,0.00015508673450879244
